tweet_id,airline_sentiment,split
570306133677760513,neutral,train
570301130888122368,positive,train
570301083672813571,neutral,train
570301031407624196,negative,train
570300817074462722,negative,test
570300767074181121,negative,validation
570300616901320704,positive,train
570300248553349120,neutral,validation
570299953286942721,positive,validation
570295459631263746,positive,train
570294189143031808,neutral,train
570289724453216256,positive,train
570289584061480960,positive,train
570287408438120448,positive,validation
570285904809598977,positive,train
570282469121007616,negative,train
570277724385734656,positive,train
570276917301137409,negative,validation
570270684619923457,positive,train
570267956648792064,positive,test
570265883513384960,negative,validation
570264145116819457,positive,train
570259420287868928,positive,test
570258822297579520,neutral,train
570256553502068736,negative,train
570249102404923392,negative,train
570239632807370753,negative,train
570217831557677057,neutral,train
570207886493782019,negative,validation
570124596180955136,neutral,train
570114021854212096,negative,validation
570094701371469825,neutral,train
570088404156698625,negative,validation
570084582780899328,negative,train
570076792993611776,positive,train
570051991277342720,neutral,train
570051381534396416,positive,train
570045393565691904,positive,test
570038941497192448,neutral,validation
570035876845084672,negative,validation
570033593394667521,positive,train
570025482344898560,negative,train
570016304284901379,neutral,validation
570015408788414464,neutral,train
570013523650048002,neutral,validation
570012257549070337,positive,train
570011341483843584,neutral,test
570010571707256832,positive,train
570010539499393025,neutral,train
570009713447825408,neutral,train
570009035455344640,neutral,train
570006886012973056,positive,train
570004391731847169,neutral,train
570001194900426752,neutral,test
570000071644872704,neutral,train
569996412286582784,negative,train
569996245462159361,positive,test
569990222609412097,positive,train
569990163209850881,neutral,train
569989504431316993,neutral,train
569989321698074624,neutral,test
569989034501500928,negative,validation
569987622484848640,neutral,validation
569986782567071744,neutral,train
569986348041547778,positive,train
569982307634794497,neutral,train
569976620158578688,negative,train
569973821396152323,negative,train
569972508499283968,positive,train
569967019958730753,negative,train
569961866224652288,neutral,train
569949891163615232,neutral,train
569948966873370625,neutral,test
569946362126602240,negative,test
569942903683813376,positive,test
569941957490774016,positive,test
569940834994401280,neutral,validation
569940323746516993,neutral,train
569935232033366017,negative,test
569934395865493504,neutral,train
569933816963342337,negative,train
569933777931145216,positive,validation
569933405506310144,negative,train
569933360564342784,negative,train
569929243146088448,negative,train
569926998824394752,negative,train
569923394990419968,neutral,validation
569922008588222465,neutral,train
569920824905306113,neutral,test
569919041244147712,negative,test
569915941192015872,neutral,train
569913339427434496,neutral,validation
569911816937033728,negative,test
569911674158731264,negative,train
569911218942517248,neutral,train
569910981868060673,negative,train
569909224521641984,negative,train
569907336485019648,negative,train
569896805611089920,negative,train
569894449620369408,negative,train
569894407001939968,neutral,train
569892199690678272,negative,test
569891469210755074,neutral,train
569891436100874241,negative,test
569887310713479168,negative,train
569887049446076416,positive,train
569884551712886785,negative,test
569884407852437504,negative,train
569881548515708928,neutral,validation
569873669700358144,positive,train
569872058613673984,positive,train
569861209781989377,positive,train
569847920192655361,negative,test
569814339785338880,positive,train
569777607371128834,positive,train
569774078233419776,positive,test
569770363623575552,positive,train
569748316776325120,negative,train
569741221783957504,negative,test
569737603617943552,negative,train
569714127792254976,positive,train
569675144353828864,positive,train
569674358135914496,neutral,train
569666477265018881,negative,train
569652497947734017,positive,train
569649116487290880,neutral,validation
569643262459269120,neutral,train
569642845516275712,negative,train
569634318349246464,negative,test
569633630978310145,neutral,train
569633279546036224,negative,train
569630092273410048,negative,train
569627480425766912,negative,train
569625739231948800,positive,train
569625609799774208,neutral,train
569620102389350401,positive,validation
569619569372823552,negative,train
569618527948115968,negative,train
569616490380439552,positive,train
569615109363929088,neutral,train
569614365755899905,negative,train
569614024578600960,positive,train
569609971383586817,negative,validation
569608328998887424,negative,test
569599867716132864,positive,train
569596445680115712,positive,validation
569596097540132864,negative,test
569594386066984960,negative,train
569586660909973504,neutral,train
569580805036453888,positive,train
569575679722786816,neutral,validation
569575003248676864,neutral,train
569574973662232576,neutral,train
569574961158815745,neutral,train
569572942381649920,negative,train
569572740723712001,negative,train
569566981835218944,negative,train
